,q_year,q_status,cod_year,type_clean,mw1,region,ix_voltage,diff_months_ia,diff_months_cod,diff_months_wd
12079,2020.0,active,2022.0,Battery,20.0,PJM,69,,26.021068194418778,
12080,2020.0,withdrawn,2022.0,Battery,10.0,PJM,69,,26.021068194418778,6.472412164520832
12081,2020.0,withdrawn,2022.0,Battery,10.0,PJM,138,,26.021068194418778,6.27528286001766
12082,2020.0,withdrawn,2022.0,Battery,3.6,PJM,86,,20.994270929587877,5.749604714675866
12083,2020.0,active,2022.0,Battery,10.0,PJM,115,,26.021068194418778,
12084,2020.0,active,2022.0,Battery,100.0,PJM,69,,26.021068194418778,
12085,2020.0,active,2021.0,Battery,0.0,PJM,69,,15.0803917944927,
12086,2020.0,active,2021.0,Battery,0.0,PJM,138,,15.0803917944927,
12087,2020.0,active,2023.0,Solar,300.0,PJM,138,,39.91868416189244,
12088,2020.0,active,2023.0,Solar,300.0,PJM,345,,39.91868416189244,
12089,2020.0,active,2023.0,Solar,119.0,PJM,138,,39.91868416189244,
12090,2020.0,active,2024.0,Wind,295.0,PJM,138,,52.009281504753694,
12091,2020.0,withdrawn,2024.0,Solar,70.0,PJM,138,,51.02363498223783,5.749604714675866
12092,2020.0,active,2024.0,Solar,75.0,PJM,138,,51.02363498223783,
12093,2020.0,active,2024.0,Solar,100.0,PJM,138,,51.02363498223783,
12094,2020.0,active,2024.0,Solar,400.0,PJM,765,,51.02363498223783,
12095,2020.0,active,2024.0,Solar,400.0,PJM,765,,51.02363498223783,
12096,2020.0,active,2023.0,Solar,105.0,PJM,138,,39.91868416189244,
12097,2020.0,withdrawn,2024.0,Wind,294.0,PJM,138,,52.009281504753694,6.735251237191728
12098,2020.0,withdrawn,2022.0,Solar,51.0,PJM,69,,20.994270929587877,13.010534097209389
12099,2020.0,active,2023.0,Battery,5.0,PJM,26,,29.930799400398364,
12100,2020.0,active,2022.0,Solar,26.0,PJM,115,,22.93270909053574,
12101,2020.0,active,2021.0,Gas,20.0,PJM,69,,8.936528470810488,
12102,2020.0,active,2024.0,Solar,128.0,PJM,500,,50.9579252140701,
12103,2020.0,active,2024.0,Solar,100.0,PJM,115,,50.9579252140701,
12104,2020.0,active,2024.0,Solar,60.0,PJM,115,,50.92507032998624,
12105,2020.0,active,2023.0,Battery,100.0,PJM,138,,37.58598739193823,
12106,2020.0,withdrawn,2023.0,Battery,100.0,PJM,230,,37.58598739193823,12.320581531448285
12107,2020.0,withdrawn,2022.0,Solar,5.0,PJM,5,,24.34546910614181,13.897615967473664
12108,2020.0,withdrawn,2022.0,Solar,5.0,PJM,5,,24.34546910614181,13.897615967473664
12109,2020.0,active,2022.0,Solar,2.6,PJM,5,,24.871147251483603,
12110,2020.0,suspended,2022.0,Solar,5.0,PJM,47,,24.871147251483603,
12111,2020.0,active,2022.0,Solar,2.5,PJM,47,,24.838292367399742,
12112,2020.0,active,2023.0,Battery,200.0,PJM,230,,37.55313250785437,
12113,2020.0,withdrawn,2022.0,Solar,20.0,PJM,5,,20.862851393252427,5.881024251011314
12114,2020.0,active,2022.0,Solar,20.0,PJM,5,,26.71102076017988,
12115,2020.0,active,2024.0,Solar,30.0,PJM,115,,50.72794102548307,
12116,2020.0,active,2024.0,Solar,70.0,PJM,115,,50.72794102548307,
12117,2020.0,active,2022.0,Gas,5.0,PJM,4,,24.772582599232017,
12118,2020.0,withdrawn,2021.0,Battery,3.0,PJM,12,,14.718988069570218,8.903673586726628
12119,2020.0,active,2021.0,Battery,40.0,PJM,69,,14.718988069570218,
12120,2020.0,active,2023.0,Battery,100.0,PJM,115,,37.651697160105954,
12121,2020.0,active,2023.0,Battery,100.0,PJM,230,,38.67019856670568,
12122,2020.0,active,2023.0,Battery,75.0,PJM,500,,38.67019856670568,
12123,2020.0,active,2023.0,Battery,50.0,PJM,230,,38.67019856670568,
12124,2020.0,withdrawn,2023.0,Battery,20.0,PJM,5,,37.3560032033512,5.2567814534179345
12125,2020.0,active,2024.0,Solar,60.0,PJM,69,,45.14261073122651,
12126,2020.0,active,2022.0,Solar,7.4,PJM,69,,21.125690465923324,
12127,2020.0,active,2022.0,Solar,16.0,PJM,5,,21.125690465923324,
12128,2020.0,active,2022.0,Battery,0.0,PJM,115,,27.105279369186224,
12129,2020.0,active,2023.0,Battery,75.0,PJM,500,,38.63734368262182,
12130,2020.0,withdrawn,2022.0,Solar,59.0,PJM,138,,26.54674633976057,5.65104006242428
12131,2020.0,active,2022.0,Solar,27.0,PJM,138,,26.54674633976057,
12132,2020.0,active,2023.0,Solar,100.0,PJM,138,,39.52442555288609,
12133,2020.0,active,2022.0,Solar,20.0,PJM,69,,22.93270909053574,
12134,2020.0,active,2022.0,Solar,20.0,PJM,69,,19.910059754820427,
12135,2020.0,active,2021.0,Solar,20.0,PJM,115,,12.944824329041664,
12136,2020.0,active,2021.0,Solar,20.0,PJM,115,,12.944824329041664,
12137,2020.0,active,2021.0,Solar,20.0,PJM,115,,12.944824329041664,
12138,2020.0,active,2021.0,Solar,20.0,PJM,115,,12.944824329041664,
12139,2020.0,active,2021.0,Solar,20.0,PJM,115,,12.944824329041664,
12140,2020.0,active,2021.0,Solar,20.0,PJM,230,,12.944824329041664,
12141,2020.0,active,2021.0,Solar,20.0,PJM,230,,12.944824329041664,
12142,2020.0,active,2021.0,Solar,20.0,PJM,230,,12.944824329041664,
12143,2020.0,active,2021.0,Solar,20.0,PJM,230,,12.944824329041664,
12144,2020.0,active,2021.0,Solar,20.0,PJM,230,,12.944824329041664,
12145,2020.0,active,2023.0,Solar,150.0,PJM,230,,37.48742273968664,
12146,2020.0,withdrawn,2024.0,Solar,20.0,PJM,5,,41.4300088297501,5.716749830592004
12147,2020.0,active,2023.0,Solar,500.0,PJM,500,,33.38056222920388,
12148,2020.0,active,2023.0,Solar,50.0,PJM,69,,33.38056222920388,
12149,2020.0,active,2023.0,Battery,16.0,PJM,69,,33.38056222920388,
12150,2020.0,active,2023.0,Solar,150.0,PJM,115,,33.38056222920388,
12151,2020.0,active,2023.0,Solar,100.0,PJM,138,,33.38056222920388,
12152,2020.0,withdrawn,2023.0,Solar,50.0,PJM,115,,33.38056222920388,11.46635454526787
12153,2020.0,active,2023.0,Battery,175.0,PJM,500,,33.38056222920388,
12154,2020.0,active,2023.0,Battery,49.0,PJM,115,,33.38056222920388,
12155,2020.0,active,2023.0,Battery,35.0,PJM,138,,33.38056222920388,
12156,2020.0,withdrawn,2023.0,Battery,14.0,PJM,115,,33.38056222920388,11.46635454526787
12157,2020.0,active,2021.0,Solar,20.0,PJM,5,,14.981827142241114,
12158,2020.0,active,2021.0,Solar,12.0,PJM,0,,14.981827142241114,
12159,2020.0,withdrawn,2021.0,Solar,13.0,PJM,26,,14.981827142241114,5.979588903262901
12160,2020.0,active,2021.0,Solar,15.0,PJM,5,,14.981827142241114,
12161,2020.0,withdrawn,2023.0,Solar,20.0,PJM,69,,27.926651471282778,5.683894946508142
12162,2020.0,active,2023.0,Solar,20.0,PJM,5,,27.926651471282778,
12163,2020.0,active,2023.0,Solar+Battery,200.0,PJM,138,,38.407359494034786,
12164,2020.0,active,2023.0,Solar+Battery,150.0,PJM,230,,39.39300601655065,
12165,2020.0,active,2023.0,Solar+Battery,150.0,PJM,115,,39.39300601655065,
12166,2020.0,active,2023.0,Solar,15.0,PJM,5,,27.893796587198917,
12167,2020.0,active,2023.0,Solar,12.0,PJM,5,,27.893796587198917,
12168,2020.0,active,2023.0,Battery,300.0,PJM,345,,32.394915706688025,
12169,2020.0,withdrawn,2021.0,Solar,4.0,PJM,13,,14.324729460563871,4.86252284441159
12170,2020.0,withdrawn,2022.0,Solar,10.0,PJM,47,,27.269553789605535,1.9384381609478634
12171,2020.0,active,2022.0,Solar,10.0,PJM,47,,27.269553789605535,
12172,2020.0,active,2022.0,Solar,10.0,PJM,23,,27.269553789605535,
12173,2020.0,withdrawn,2022.0,Solar,10.0,PJM,47,,27.269553789605535,5.552475410172693
12174,2020.0,active,2022.0,Solar,10.0,PJM,23,,27.269553789605535,
12175,2020.0,active,2022.0,Solar,10.0,PJM,5,,27.269553789605535,
12176,2020.0,active,2022.0,Battery,85.0,PJM,69,,26.283907267089674,
12177,2020.0,withdrawn,2022.0,Solar,35.0,PJM,69,,27.269553789605535,5.059652148914762
12178,2020.0,active,2022.0,Battery,7.0,PJM,5,,27.236698905521674,
12179,2020.0,active,2022.0,Battery,10.0,PJM,5,,27.236698905521674,
12180,2020.0,withdrawn,2022.0,Battery,15.0,PJM,0,,27.236698905521674,0.9199367543481386
12181,2020.0,withdrawn,2022.0,Battery,7.0,PJM,0,,27.236698905521674,0.9199367543481386
12182,2020.0,active,2024.0,Battery,10.0,PJM,2,,45.2411753834781,
12183,2020.0,active,2022.0,Battery,19.0,PJM,5,,27.269553789605535,
12184,2020.0,active,2022.0,Battery,14.0,PJM,2,,27.236698905521674,
12185,2020.0,active,2024.0,Solar,250.0,PJM,345,,42.218526047762786,
12186,2020.0,active,2023.0,Solar+Battery,75.0,PJM,69,,38.243085073615475,
12187,2020.0,withdrawn,2023.0,Solar,150.0,PJM,138,,39.22873159613134,5.716749830592004
12188,2020.0,active,2023.0,Battery,50.0,PJM,230,,32.230641286268714,
12189,2020.0,active,2023.0,Solar,150.0,PJM,138,,32.19778640218485,
12190,2020.0,active,2021.0,Solar,15.0,PJM,5,,15.24466621491201,
12191,2020.0,active,2023.0,Solar,210.0,PJM,138,,38.210230189531615,
12192,2020.0,active,2023.0,Solar,346.0,PJM,138,,38.210230189531615,
12193,2020.0,active,2024.0,Solar,450.0,PJM,345,,44.222673976878376,
12194,2020.0,active,2023.0,Solar,20.0,PJM,69,,32.19778640218485,
12195,2020.0,active,2023.0,Solar,20.0,PJM,69,,32.19778640218485,
12196,2020.0,active,2023.0,Solar,20.0,PJM,69,,30.12792870490154,
12197,2020.0,active,2024.0,Solar,135.0,PJM,138,,51.18790940265714,
12198,2020.0,active,2024.0,Solar,50.0,PJM,138,,51.18790940265714,
12199,2020.0,withdrawn,2024.0,Solar,50.0,PJM,115,,51.18790940265714,5.223926569334073
12200,2020.0,active,2024.0,Solar,192.0,PJM,230,,51.18790940265714,
12201,2020.0,active,2024.0,Wind,200.0,PJM,345,,51.18790940265714,
12202,2020.0,active,2024.0,Wind,200.0,PJM,345,,51.18790940265714,
12203,2020.0,withdrawn,2024.0,Solar,150.0,PJM,345,,47.17961354442596,5.683894946508142
12204,2020.0,active,2024.0,Solar,150.0,PJM,138,,42.152816279595065,
12205,2020.0,withdrawn,2024.0,Battery,90.0,PJM,69,,44.189819092794515,2.431261422205795
12206,2020.0,withdrawn,2022.0,Solar,10.0,PJM,23,,27.17098913735395,7.06380007803035
12207,2020.0,active,2022.0,Solar,10.0,PJM,5,,27.17098913735395,
12208,2020.0,active,2022.0,Solar,10.0,PJM,5,,27.17098913735395,
12209,2020.0,withdrawn,2022.0,Solar,10.0,PJM,47,,27.17098913735395,5.453910757921107
12210,2020.0,withdrawn,2022.0,Solar,10.0,PJM,47,,27.17098913735395,5.453910757921107
12211,2020.0,active,2022.0,Solar,7.5,PJM,25,,27.17098913735395,
12212,2020.0,withdrawn,2022.0,Solar,7.5,PJM,47,,27.17098913735395,7.06380007803035
12213,2020.0,active,2022.0,Battery,119.0,PJM,115,,25.166841208238363,
12214,2020.0,withdrawn,2023.0,Solar,80.0,PJM,138,,37.15887389884803,5.421055873837245
12215,2020.0,active,2021.0,Solar,3.9,PJM,47,,15.178956446744285,
12216,2020.0,active,2021.0,Solar,3.9,PJM,47,,15.178956446744285,
12217,2020.0,active,2022.0,Solar,4.0,PJM,5,,24.148339801638638,
12218,2020.0,active,2023.0,Solar+Battery,38.0,PJM,69,,39.16302182796361,
12219,2020.0,active,2023.0,Solar+Battery,55.0,PJM,69,,39.16302182796361,
12220,2020.0,withdrawn,2023.0,Battery,20.0,PJM,230,,27.105279369186224,12.222016879196698
12221,2020.0,active,2022.0,Solar,20.0,PJM,46,,22.078482104355327,
12222,2020.0,withdrawn,2023.0,Solar,20.0,PJM,46,,34.070514794964986,4.928232612579314
12223,2020.0,active,2022.0,Solar,20.0,PJM,69,,22.078482104355327,
12224,2020.0,active,2023.0,Solar,20.0,PJM,69,,34.070514794964986,
12225,2020.0,active,2022.0,Battery,100.0,PJM,230,,25.068276555986778,
12226,2020.0,active,2021.0,Battery,20.0,PJM,230,,13.076243865377112,
12227,2020.0,active,2021.0,Battery,20.0,PJM,69,,13.076243865377112,
12228,2020.0,active,2022.0,Battery,80.0,PJM,230,,25.068276555986778,
12229,2020.0,active,2022.0,Solar+Battery,20.0,PJM,115,,17.051684839524427,
12230,2020.0,active,2022.0,Solar+Battery,20.0,PJM,115,,20.074334175239738,
12231,2020.0,active,2022.0,Solar+Battery,20.0,PJM,115,,20.074334175239738,
12232,2020.0,withdrawn,2022.0,Solar,20.0,PJM,69,,17.051684839524427,4.9610874966631755
12233,2020.0,withdrawn,2022.0,Solar,20.0,PJM,69,,17.051684839524427,4.9610874966631755
12234,2020.0,active,2022.0,Solar+Battery,40.0,PJM,69,,20.074334175239738,
12235,2020.0,active,2022.0,Solar+Battery,20.0,PJM,69,,20.074334175239738,
12236,2020.0,active,2022.0,Solar+Battery,20.0,PJM,69,,20.074334175239738,
12237,2020.0,active,2022.0,Solar,20.0,PJM,46,,17.051684839524427,
12238,2020.0,active,2022.0,Solar,20.0,PJM,46,,17.051684839524427,
12239,2020.0,active,2022.0,Solar,20.0,PJM,5,,20.074334175239738,
12240,2020.0,active,2023.0,Solar,30.0,PJM,138,,36.041807839996714,
12241,2020.0,active,2023.0,Solar,70.0,PJM,115,,36.041807839996714,
12242,2020.0,active,2024.0,Solar,125.0,PJM,115,,50.10369822788969,
12243,2020.0,withdrawn,2022.0,Solar,10.0,PJM,138,,26.0867779625865,5.19107168525021
12244,2020.0,withdrawn,2022.0,Solar,15.0,PJM,5,,26.0867779625865,5.585330294256556
12245,2020.0,active,2023.0,Solar,150.0,PJM,115,,33.0191585042814,
12246,2020.0,active,2023.0,Battery,53.0,PJM,115,,33.0191585042814,
12247,2020.0,active,2021.0,Battery,20.0,PJM,115,,13.076243865377112,
12248,2020.0,active,2023.0,Hydro,17.0,PJM,23,,39.06445717571203,
12249,2020.0,withdrawn,2023.0,Hydro,37.0,PJM,138,,39.06445717571203,5.946734019179039
12250,2020.0,active,2022.0,Solar,7.5,PJM,47,,27.072424485102363,
12251,2020.0,withdrawn,2022.0,Solar,7.5,PJM,0,,27.039569601018503,0.722807449844966
12252,2020.0,withdrawn,2022.0,Solar,7.5,PJM,23,,27.039569601018503,6.932380541694902
