,q_year,q_status,cod_year,type_clean,mw1,region,ix_voltage,diff_months_ia,diff_months_cod
4434,2008.0,withdrawn,2011.0,Wind,121.0,MISO,161,39.88582927780858,39.88582927780858
4435,2008.0,withdrawn,2012.0,Wind,200.0,MISO,345,9.659335920655455,52.60066941826321
4436,2008.0,withdrawn,2013.0,Wind,150.0,MISO,230,46.91677447175507,64.55984722478901
4437,2008.0,operational,2012.0,Wind,200.0,MISO,138,31.507833836423746,52.40354011376004
4438,2008.0,withdrawn,2011.0,Gas,50.0,MISO,115,62.42427975933797,35.1875808538163
4439,2004.0,withdrawn,2012.0,Wind,50.0,MISO,69,32.394915706688025,106.58124396804862
4440,2004.0,withdrawn,2011.0,Wind,79.0,MISO,0,15.54036017166677,86.50690979280888
4441,2004.0,withdrawn,2010.0,Wind,79.0,MISO,0,42.71134930902072,82.56432370274544
4442,2004.0,operational,2004.0,Wind,150.0,MISO,138,40.181523234563336,7.326639150701246
4443,2001.0,withdrawn,2010.0,,1500.0,MISO,0,34.300498983552025,101.62015647138544
4444,2003.0,withdrawn,2006.0,Wind,80.0,MISO,138,46.48966097866486,37.32314831926734
4445,2000.0,withdrawn,2006.0,,500.0,MISO,0,51.05648986632169,76.38760549497937
4446,2000.0,withdrawn,2005.0,,500.0,MISO,0,51.05648986632169,63.409926281853835
4447,2001.0,operational,2010.0,Other,1500.0,MISO,0,38.67019856670568,106.44982443171318
4448,2001.0,active,2002.0,Coal,550.0,MISO,0,34.136224563132714,5.946734019179039
4449,2008.0,withdrawn,2002.0,Wind,150.0,MISO,230,35.81182365140968,-76.55187991539867
4450,2008.0,withdrawn,2006.0,Wind,100.0,MISO,138,25.988213310334913,-24.70687283106429
4451,2008.0,operational,2010.0,Wind,20.0,MISO,0,18.168750898375738,18.267315550627323
4452,2008.0,withdrawn,2011.0,Wind,200.0,MISO,230,5.881024251011314,31.27784964783671
4453,2008.0,withdrawn,2009.0,Wind,18.0,MISO,0,45.963982833323065,14.226164808312285
4454,2008.0,withdrawn,2012.0,Wind,25.0,MISO,69,28.222345428037535,48.099550298774105
4455,2008.0,withdrawn,2012.0,Wind,250.0,MISO,345,44.78120700630403,39.91868416189244
4456,2008.0,withdrawn,2010.0,Wind,150.0,MISO,0,16.723135998685805,18.990123000472288
4457,2008.0,withdrawn,2010.0,Wind,250.0,MISO,345,37.914536232776854,24.411178874309535
4458,2009.0,withdrawn,2010.0,Coal,23.0,MISO,0,4.435409351321383,23.819790960800017
4459,2009.0,withdrawn,2010.0,Wind,150.0,MISO,345,14.751842953654078,23.819790960800017
4460,2009.0,withdrawn,2007.0,Other,27.0,MISO,0,14.718988069570218,-16.95312018727284
4461,2009.0,withdrawn,2012.0,Wind,200.0,MISO,115,41.62713813425327,47.803856342019344
4462,2009.0,withdrawn,2010.0,Wind,100.0,MISO,115,23.951210497135463,17.77449228936939
4463,2009.0,withdrawn,2012.0,Wind,100.0,MISO,69,5.519620526088832,47.803856342019344
4464,2009.0,withdrawn,2012.0,Wind,200.0,MISO,115,5.519620526088832,47.803856342019344
4465,2009.0,withdrawn,2012.0,Wind,200.0,MISO,115,5.519620526088832,47.803856342019344
4466,2009.0,withdrawn,2012.0,Wind,100.0,MISO,230,5.519620526088832,47.803856342019344
4467,2009.0,withdrawn,2012.0,Wind,100.0,MISO,115,5.519620526088832,47.803856342019344
4468,2009.0,operational,2010.0,Other,24.0,MISO,0,21.68422349534898,16.82170065093739
4469,2009.0,operational,2013.0,Other,41.0,MISO,0,15.737489476169943,59.82874391671287
4470,2009.0,operational,2011.0,Other,6.0,MISO,0,17.807347173453255,28.41947473254071
4471,2009.0,operational,2011.0,Other,6.0,MISO,0,17.873056941620977,34.497628288055196
4472,2009.0,withdrawn,2010.0,Wind,201.0,MISO,0,11.696338733854905,10.84211174767449
4473,2009.0,operational,2011.0,Other,13.0,MISO,120,26.908150064683053,31.507833836423746
4474,2009.0,withdrawn,2020.0,Wind,50.0,MISO,161,,139.07472432698825
4475,2009.0,withdrawn,2010.0,Wind,48.0,MISO,69,46.91677447175507,10.973531284009939
4476,2009.0,withdrawn,2015.0,Wind,200.0,MISO,230,22.407030945193945,81.74295160064888
4477,2009.0,withdrawn,2012.0,Wind,102.0,MISO,0,20.632867204665395,42.185671163678926
4478,2009.0,withdrawn,2008.0,Wind,198.0,MISO,0,22.078482104355327,-2.299841885870346
4480,2009.0,withdrawn,2010.0,Wind,4.9,MISO,69,,20.665722088749256
4481,2009.0,withdrawn,2012.0,Wind,4.9,MISO,69,22.965563974619602,40.67434649582127
4482,2009.0,withdrawn,2014.0,Wind,175.0,MISO,138,40.97004045257603,69.65235425778764
4483,2009.0,withdrawn,2012.0,Wind,4.9,MISO,6,21.421384422678084,41.52857348200168
4484,2009.0,withdrawn,2010.0,Wind,4.9,MISO,69,61.208649048235074,16.526006694182634
4485,2009.0,withdrawn,2010.0,Wind,65.0,MISO,138,7.950881948294626,20.501447668329945
4486,2009.0,withdrawn,2010.0,Wind,498.0,MISO,138,24.739727715148156,20.501447668329945
4487,2009.0,withdrawn,2010.0,Other,50.0,MISO,69,12.287726647364423,21.48709419084581
4488,2009.0,withdrawn,2013.0,Gas,50.0,MISO,115,25.955358426251053,53.520606172611345
4489,2009.0,operational,2010.0,Wind,90.0,MISO,161,,16.526006694182634
4490,2009.0,withdrawn,2013.0,Wind,200.0,MISO,230,44.64978746996858,45.635433992484444
4491,2009.0,operational,2010.0,Other,3.2,MISO,120,15.441795519415184,14.718988069570218
4492,2009.0,withdrawn,2012.0,Wind,99.0,MISO,138,34.136224563132714,32.132076634017125
4493,2009.0,withdrawn,2010.0,Wind,23.0,MISO,69,43.3355921066141,13.404792706215733
4494,2009.0,operational,2010.0,Gas,31.0,MISO,0,24.214049569806363,12.649130372286905
4495,2009.0,withdrawn,2012.0,Other,33.0,MISO,138,2.562680958541243,39.49157066880223
4496,2009.0,withdrawn,2008.0,Wind,140.0,MISO,230,28.058071007618228,-6.176718207766073
4497,2009.0,withdrawn,2011.0,Wind,16.0,MISO,0,4.303989814985934,24.37832399022567
4498,2009.0,withdrawn,2012.0,Wind,250.0,MISO,115,6.505267048604694,35.08901620156471
4499,2009.0,withdrawn,2009.0,Wind,200.0,MISO,345,22.111336988439188,6.045298671430625
4500,2009.0,operational,2012.0,Wind,100.0,MISO,138,23.458387235877534,40.740056263989
4501,2009.0,withdrawn,2014.0,Wind,200.0,MISO,345,33.80767572229409,65.24979979055011
4502,2013.0,withdrawn,2015.0,Wind,198.0,MISO,230,17.57736298486622,33.21628780878457
4503,2009.0,withdrawn,2011.0,Wind,40.0,MISO,0,2.168422349534898,28.156635659869814
4504,2009.0,withdrawn,2015.0,Wind,101.0,MISO,138,35.54898457873878,74.6134417544508
4505,2009.0,withdrawn,2012.0,Wind,200.0,MISO,138,22.14419187252305,41.1671697570792
4506,2009.0,withdrawn,2011.0,Wind,4.9,MISO,69,,25.166841208238363
4507,2009.0,withdrawn,2011.0,Wind,99.0,MISO,138,14.78469783773794,24.148339801638638
4508,2009.0,operational,2012.0,Wind,29.0,MISO,0,16.46029692601491,32.099221749933264
4509,2009.0,withdrawn,2013.0,Wind,70.0,MISO,0,30.390767777572435,53.15920244768886
4510,2009.0,withdrawn,2009.0,Wind,250.0,MISO,115,35.15472596973244,4.3696995831536585
4511,2009.0,withdrawn,2013.0,Wind,200.0,MISO,0,3.186923756134623,52.37068522967618
4512,2009.0,withdrawn,2011.0,Wind,100.0,MISO,115,3.186923756134623,24.37832399022567
4513,2009.0,withdrawn,2011.0,Other,29.0,MISO,69,18.300170434711184,24.34546910614181
4514,2009.0,withdrawn,2014.0,Wind,60.0,MISO,69,29.2079919505534,64.16558861578267
